Domain,Area,Element,Item Code (CPC),Item,Year Code,Year,Months Code,Months,Unit,Value
Producer Prices,Bulgaria,Producer Price (USD/tonne),1346,Plums and sloes,2019,2019,7021,Annual value,USD,0.24
Producer Prices,Bulgaria,Producer Price (USD/tonne),1346,Plums and sloes,2020,2020,7021,Annual value,USD,0.24
Producer Prices,Bulgaria,Producer Price (USD/tonne),1346,Plums and sloes,2021,2021,7021,Annual value,USD,0.25
Producer Prices,Bulgaria,Producer Price (USD/tonne),1346,Plums and sloes,2022,2022,7021,Annual value,USD,0.26
Producer Prices,Bulgaria,Producer Price (USD/tonne),1346,Plums and sloes,2023,2023,7021,Annual value,USD,0.27
Producer Prices,Bulgaria,Producer Price (USD/tonne),1510,Potatoes,2018,2018,7021,Annual value,USD,0.24
Producer Prices,Bulgaria,Producer Price (USD/tonne),1510,Potatoes,2019,2019,7021,Annual value,USD,0.28
Producer Prices,Bulgaria,Producer Price (USD/tonne),1510,Potatoes,2020,2020,7021,Annual value,USD,0.24
Producer Prices,Bulgaria,Producer Price (USD/tonne),1510,Potatoes,2021,2021,7021,Annual value,USD,0.23
Producer Prices,Bulgaria,Producer Price (USD/tonne),1510,Potatoes,2022,2022,7021,Annual value,USD,0.29
Producer Prices,Bulgaria,Producer Price (USD/tonne),1510,Potatoes,2023,2023,7021,Annual value,USD,0.36
Producer Prices,Bulgaria,Producer Price (USD/tonne),1443,Rape or colza seed,2018,2018,7021,Annual value,USD,0.4
Producer Prices,Bulgaria,Producer Price (USD/tonne),1443,Rape or colza seed,2019,2019,7021,Annual value,USD,0.39
Producer Prices,Bulgaria,Producer Price (USD/tonne),1443,Rape or colza seed,2020,2020,7021,Annual value,USD,0.41
Producer Prices,Bulgaria,Producer Price (USD/tonne),1443,Rape or colza seed,2021,2021,7021,Annual value,USD,0.56
Producer Prices,Bulgaria,Producer Price (USD/tonne),1443,Rape or colza seed,2022,2022,7021,Annual value,USD,0.62
Producer Prices,Bulgaria,Producer Price (USD/tonne),1443,Rape or colza seed,2023,2023,7021,Annual value,USD,0.43
Producer Prices,Bulgaria,Producer Price (USD/tonne),1353.01,Raspberries,2018,2018,7021,Annual value,USD,1.57
Producer Prices,Bulgaria,Producer Price (USD/tonne),1353.01,Raspberries,2019,2019,7021,Annual value,USD,1.59
Producer Prices,Bulgaria,Producer Price (USD/tonne),1353.01,Raspberries,2020,2020,7021,Annual value,USD,1.79
Producer Prices,Bulgaria,Producer Price (USD/tonne),1353.01,Raspberries,2021,2021,7021,Annual value,USD,2.0
Producer Prices,Bulgaria,Producer Price (USD/tonne),1353.01,Raspberries,2022,2022,7021,Annual value,USD,2.24
